plant,year,fin_material_id,fin_material_release_type,fin_material_production_type,fin_production_quantity,prod_material_id,prod_material_release_type,prod_material_production_type,prod_production_quantity,component_id,component_material_release_type,component_material_production_type,component_consumption_quantity
RLT_10,2024,10000,FIN,8002,11708.0,50000,PROD,8002.0,11708.0,80070,PROD,8007.0,11303.0
RLT_10,2024,10000,FIN,8002,11708.0,80070,PROD,8007.0,11303.0,80010,PROD,8001.0,41769.0
RLT_10,2024,10000,FIN,8002,11708.0,80010,PROD,8001.0,41769.0,80000,PROD,8000.0,23360.0
RLT_10,2024,10000,FIN,8002,11708.0,80000,PROD,8000.0,23360.0,70000,RM,,30498.0
RLT_10,2024,10000,FIN,8002,11708.0,80000,PROD,8000.0,23360.0,90005,ADD,,829.0
RLT_10,2024,10000,FIN,8002,11708.0,80010,PROD,8001.0,41769.0,90004,ADD,,1242.0
RLT_10,2024,10000,FIN,8002,11708.0,80070,PROD,8007.0,11303.0,90002,ADD,,355.0
RLT_10,2024,10000,FIN,8002,11708.0,80070,PROD,8007.0,11303.0,90003,ADD,,121.0
RLT_10,2024,10000,FIN,8002,11708.0,50000,PROD,8002.0,11708.0,90000,ADD,,598.0
RLT_10,2024,10000,FIN,8002,11708.0,50000,PROD,8002.0,11708.0,90001,ADD,,242.0
RLT_10,2024,10001,FIN,8002,12023.0,50001,PROD,8002.0,12023.0,80071,PROD,8007.0,10759.0
RLT_10,2024,10001,FIN,8002,12023.0,80071,PROD,8007.0,10759.0,80011,PROD,8001.0,42650.0
RLT_10,2024,10001,FIN,8002,12023.0,80011,PROD,8001.0,42650.0,80001,PROD,8000.0,24730.0
RLT_10,2024,10001,FIN,8002,12023.0,80001,PROD,8000.0,24730.0,70001,RM,,30624.0
RLT_10,2024,10001,FIN,8002,12023.0,80001,PROD,8000.0,24730.0,90010,ADD,,830.0
RLT_10,2024,10001,FIN,8002,12023.0,80011,PROD,8001.0,42650.0,90009,ADD,,1214.0
RLT_10,2024,10001,FIN,8002,12023.0,80071,PROD,8007.0,10759.0,90007,ADD,,365.0
RLT_10,2024,10001,FIN,8002,12023.0,80071,PROD,8007.0,10759.0,90008,ADD,,122.0
RLT_10,2024,10001,FIN,8002,12023.0,50001,PROD,8002.0,12023.0,90005,ADD,,585.0
RLT_10,2024,10001,FIN,8002,12023.0,50001,PROD,8002.0,12023.0,90006,ADD,,240.0
RLT_14,2024,10002,FIN,8002,12067.0,50002,PROD,8002.0,12067.0,80072,PROD,8007.0,11027.0
RLT_14,2024,10002,FIN,8002,12067.0,80072,PROD,8007.0,11027.0,80012,PROD,8001.0,41471.0
RLT_14,2024,10002,FIN,8002,12067.0,80012,PROD,8001.0,41471.0,80002,PROD,8000.0,23516.0
RLT_14,2024,10002,FIN,8002,12067.0,80002,PROD,8000.0,23516.0,70002,RM,,31048.0
RLT_14,2024,10002,FIN,8002,12067.0,80002,PROD,8000.0,23516.0,90015,ADD,,843.0
RLT_14,2024,10002,FIN,8002,12067.0,80012,PROD,8001.0,41471.0,90014,ADD,,1198.0
RLT_14,2024,10002,FIN,8002,12067.0,80072,PROD,8007.0,11027.0,90012,ADD,,355.0
RLT_14,2024,10002,FIN,8002,12067.0,80072,PROD,8007.0,11027.0,90013,ADD,,120.0
RLT_14,2024,10002,FIN,8002,12067.0,50002,PROD,8002.0,12067.0,90010,ADD,,603.0
RLT_14,2024,10002,FIN,8002,12067.0,50002,PROD,8002.0,12067.0,90011,ADD,,242.0
RLT_14,2024,10003,FIN,8002,12091.0,50003,PROD,8002.0,12091.0,80073,PROD,8007.0,10806.0
RLT_14,2024,10003,FIN,8002,12091.0,80073,PROD,8007.0,10806.0,80013,PROD,8001.0,42439.0
RLT_14,2024,10003,FIN,8002,12091.0,80013,PROD,8001.0,42439.0,80003,PROD,8000.0,23195.0
